SpinCore Technologies, Inc. SpinAPI ver. 20171214
Logfile created: Wed Apr 15 12:57:10 2026

Markers: (I) info, (W) warning, (E) error.

================================================================================================
    TIME     FUNCTION                     MESSAGE                      
================================================================================================
(I) 12:57:10 pb_init:188                 Entering pb_init. cur_board = 0
(I) 12:57:10 os_usb_count_devices:71     os_usb_count_devices: Enumerating USB Devices...
(I) 12:57:10 os_usb_count_devices:130    -SP9 Board Detected (pid_c1ab).
(I) 12:57:10 os_usb_count_devices:145    Device Handle=0x9f4
(I) 12:57:10 os_usb_count_devices:146    --System Path: \\?\usb#vid_0403&pid_c1ab#5&282bf3ab&0&6#{ae18aa60-7f6a-11d4-97dd-00010229b959}
(I) 12:57:10 os_usb_count_devices:86     os_usb_count_devices: Enumeration Completed. Found 1 Devices.
(I) 12:57:10 pb_count_boards:144         pb_count_boards(): Detected 1 boards in your system.
(I) 12:57:10 do_os_init:1623             do_os_init: board # 0
(I) 12:57:10 do_os_init:1624             do_os_init: num_pci_boards: 0
(I) 12:57:10 do_os_init:1625             do_os_init: num_usb_devices: 1
(I) 12:57:10 do_os_init:1635             do_os_init: initializing usb
(I) 12:57:10 usb_get_num_endpoints:434   Detected endpoints: 3
(I) 12:57:10 usb_get_friendly_name:404   Friendly Name: SpinCore Technologies, Inc. PulseBlaster
(I) 12:57:10 usb_get_driver_version:462  Driver version: 50594147
(I) 12:57:10 get_caps:22                 dev_id=0xc1ab
(I) 12:57:10 get_caps:782                found USB PulseBlaster (firmware_id=0x1b08)
(I) 12:57:10 get_caps:797                pb_core_version=20090617
(I) 12:57:10 pb_select_board:171         pb_select_board(..): Selecting usb board: 0
(I) 12:57:10 usb_set_device:54           usb_set_device: board num 0
(I) 12:57:11 pb_select_board:171         pb_select_board(..): Selecting usb board: 0
(I) 12:57:11 usb_set_device:54           usb_set_device: board num 0
(I) 12:57:11 pb_stop:521                 pb_stop():
(I) 12:57:11 pb_select_board:171         pb_select_board(..): Selecting usb board: 0
(I) 12:57:11 usb_set_device:54           usb_set_device: board num 0
(I) 12:57:11 pb_start_programming:265    pb_start_programming (device=0)
(I) 12:57:11 pb_start_programming:276    pb_start_programming: Using new programming method.
(I) 12:57:11 pb_select_board:171         pb_select_board(..): Selecting usb board: 0
